"symbol","current_source"
"BLES.JK","-1"
"NICE.JK","-1"
"ISEA.JK","-1"
"GOLF.JK","-1"
"SOLA.JK","-1"
"SMLE.JK","-1"
"LABS.JK","-1"
"GRPH.JK","-1"
"PART.JK","-1"
"SPRE.JK","-1"
"MANG.JK","-1"
"ASLI.JK","-1"
"GUNA.JK","-1"
"VISI.JK","-1"
"MEJA.JK","-1"
"MSJA.JK","-1"
"ACRO.JK","-1"
"LIVE.JK","-1"
"TOSK.JK","-1"
"CGAS.JK","-1"
"ALII.JK","-1"
"MARI.JK","2"
"AREA.JK","-1"
"SWAT.JK","2"
"ATLA.JK","-1"
"BAIK.JK","-1"
"HYGN.JK","-1"
"MHKI.JK","-1"
"MKAP.JK","-1"
"RANC.JK","2"
"MPIX.JK","-1"
"SMGA.JK","-1"
"UNTD.JK","-1"
"CASH.JK","2"
"AIMS.JK","2"
"BAPI.JK","2"
"LCKM.JK","2"
"ASJT.JK","2"
"PGJO.JK","2"
"LMAS.JK","2"
"ALTO.JK","2"
"HOPE.JK","2"
"FIMP.JK","2"
"PTPW.JK","2"
"TRJA.JK","2"
"EPAC.JK","2"
"LEAD.JK","2"
"ATAP.JK","2"
"BINO.JK","2"
"PLAN.JK","2"
"UNIQ.JK","-1"
"ZYRX.JK","2"
"FITT.JK","2"
"TAMA.JK","2"
"MGNA.JK","2"
"SAPX.JK","2"
"DATA.JK","-1"
"BATR.JK","-1"
"SURI.JK","-1"
"SATU.JK","2"
"AYLS.JK","2"
"FINN.JK","-1"
"TURI.JK","-1"
"UFOE.JK","-1"
"SBAT.JK","2"
"CBMF.JK","2"
"TRUE.JK","2"
"SBMA.JK","2"
"BSML.JK","2"
"SCNP.JK","2"
"UNIT.JK","2"
"EAST.JK","2"
"KLAS.JK","2"
"NANO.JK","-1"
"SWID.JK","2"
"MTRA.JK","2"
"OLIV.JK","-1"
"KBAG.JK","2"
"ASHA.JK","2"
"RAFI.JK","-1"
"KRYA.JK","-1"
"APII.JK","2"
"EURO.JK","2"
"KBLM.JK","2"
"KKES.JK","-1"
"EKAD.JK","2"
"NAYZ.JK","2"
"CBRE.JK","2"
"ZATA.JK","2"
"CBPE.JK","2"
"LAJU.JK","2"
"KETR.JK","-1"
"MPXL.JK","-1"
"MDKI.JK","2"
"RCCC.JK","-1"
"MSTI.JK","-1"
"LOPI.JK","-1"
"TYRE.JK","2"
"LION.JK","2"
"PURI.JK","2"
"AHAP.JK","2"
"AKKU.JK","2"
"PRAS.JK","2"
"KOCI.JK","-1"
"IKAN.JK","2"
"KDSI.JK","2"
"AGAR.JK","2"
"SINI.JK","2"
"MMIX.JK","2"
"KICI.JK","2"
"OCAP.JK","2"
"DEFI.JK","2"
"BABY.JK","-1"
"VINS.JK","2"
"CNTX.JK","2"
"PNGO.JK","2"
"ROCK.JK","2"
"POLY.JK","2"
"FWCT.JK","2"
"GHON.JK","2"
"TGUK.JK","-1"
"RELI.JK","2"
"TOOL.JK","-1"
"FOOD.JK","2"
"KJEN.JK","2"
"CINT.JK","2"
"AMIN.JK","2"
"KOKA.JK","-1"
"AYAM.JK","-1"
"PSKT.JK","2"
"CANI.JK","2"
"PURE.JK","2"
"APLI.JK","2"
"JMAS.JK","2"
"BELL.JK","-1"
"HDIT.JK","2"
"NASI.JK","2"
"PDES.JK","2"
"TRIS.JK","2"
"DPNS.JK","2"
"HADE.JK","2"
"DSFI.JK","2"
"ALKA.JK","2"
"SCPI.JK","2"
"AWAN.JK","2"
"ERTX.JK","2"
"LRNA.JK","2"
"MAMI.JK","2"
"INTD.JK","2"
"TIRA.JK","2"
"GLVA.JK","2"
"LUCK.JK","2"
"KOPI.JK","2"
"DAYA.JK","2"
"LMSH.JK","2"
"BLUE.JK","2"
"SOFA.JK","2"
"CPRI.JK","2"
"SMKL.JK","2"
"DEWI.JK","2"
"WAPO.JK","2"
"IBFN.JK","2"
"ENZO.JK","2"
"CHEM.JK","-1"
"SOTS.JK","2"
"OBMD.JK","2"
"KPAS.JK","2"
"TRUS.JK","2"
"SMKM.JK","2"
"ESTA.JK","2"
"PKPK.JK","2"
"GPSO.JK","2"
"NINE.JK","-1"
"RGAS.JK","-1"
"ESTI.JK","2"
"SOSS.JK","2"
"BIKE.JK","2"
"CRAB.JK","2"
"PDPP.JK","2"
"PEVE.JK","2"
"FUTR.JK","2"
"PPGL.JK","2"
"KUAS.JK","2"
"PNSE.JK","2"
"HAIS.JK","2"
"INRU.JK","2"
"HALO.JK","2"
"CSIS.JK","2"
"TRON.JK","2"
"BTON.JK","2"
"ASPI.JK","2"
"TMPO.JK","2"
"TNCA.JK","2"
"JAST.JK","2"
"INCI.JK","2"
"PSDN.JK","2"
"PACK.JK","2"
"LPIN.JK","2"
"RONY.JK","2"
"LMAX.JK","-1"
"HKMU.JK","2"
"PUDP.JK","2"
"PURA.JK","2"
"BOBA.JK","2"
"BEER.JK","2"
"GOLD.JK","2"
"LUCY.JK","2"
"INOV.JK","2"
"DADA.JK","2"
"AXIO.JK","2"
"MFMI.JK","2"
"KLIN.JK","-1"
"ESIP.JK","2"
"BIMA.JK","2"
"KAYU.JK","2"
"COAL.JK","2"
"RMKO.JK","2"
"FLMC.JK","2"
"BPTR.JK","2"
"TBMS.JK","2"
"MTSM.JK","2"
"RBMS.JK","2"
"INDX.JK","2"
"CSRA.JK","2"
"DIGI.JK","2"
"NICK.JK","2"
"SOUL.JK","2"
"FORU.JK","2"
"ASBI.JK","2"
"IPPE.JK","2"
"BIKA.JK","2"
"ARTA.JK","2"
"CCSI.JK","2"
"JATI.JK","2"
"RUNS.JK","2"
"MEDS.JK","2"
"COCO.JK","2"
"IDEA.JK","2"
"KPAL.JK","2"
"SUNI.JK","2"
"HBAT.JK","-1"
"GLOB.JK","2"
"JKSW.JK","2"
"NTBK.JK","2"
"KDTN.JK","-1"
"TALF.JK","2"
"PANR.JK","2"
"GDYR.JK","2"
"MBTO.JK","2"
"KOBX.JK","2"
"ITIC.JK","2"
"BBSS.JK","2"
"BMBL.JK","2"
"BAUT.JK","2"
"SIMA.JK","2"
"IPAC.JK","2"
"DGNS.JK","2"
"OILS.JK","2"
"RIMO.JK","2"
"OKAS.JK","2"
"OPMS.JK","2"
"SNLK.JK","2"
"PEGE.JK","2"
"ICON.JK","2"
"NELY.JK","2"
"PAMG.JK","2"
"REAL.JK","2"
"SEMA.JK","2"
"WICO.JK","2"
"BAYU.JK","2"
"WOWS.JK","2"
"PTDU.JK","2"
"NZIA.JK","2"
"OASA.JK","2"
"MGLV.JK","2"
"CAKK.JK","2"
"AKSI.JK","2"
"TRUK.JK","2"
"UANG.JK","2"
"LFLO.JK","2"
"UVCR.JK","2"
"VAST.JK","2"
"VOKS.JK","2"
"IKPM.JK","-1"
"VRNA.JK","2"
"WGSH.JK","2"
"WIFI.JK","2"
"YELO.JK","2"
"ZONE.JK","2"
"UDNG.JK","-1"
"INCF.JK","2"
"MPOW.JK","2"
"INDO.JK","2"
"RSCH.JK","-1"
"HAJJ.JK","2"
"KING.JK","2"
"MUTU.JK","-1"
"ISAP.JK","-1"
"GRPM.JK","-1"
"PPRI.JK","-1"
"RELF.JK","2"
"MAXI.JK","-1"
"MENN.JK","-1"
"TAYS.JK","-1"
"AMMS.JK","-1"
"IOTF.JK","-1"
"PMMP.JK","-1"
"LABA.JK","-1"
"BESS.JK","-1"
"GTRA.JK","-1"
"TOYS.JK","-1"
"ELIT.JK","-1"
"CRSN.JK","-1"
"AEGS.JK","-1"
"SICO.JK","-1"
"FOLK.JK","-1"
"WINR.JK","-1"
"GRIA.JK","-1"
"GULA.JK","-1"
"WIDI.JK","-1"
"MSIE.JK","-1"
"PADA.JK","-1"
"PTPS.JK","-1"